test_num;manoeuvre_name;mic_num;time;freqs[Hz];Lws[dB];zeta[rad];velX[m/s];velY[m/s];velZ[m/s];RPM1;RPM2;RPM3;RPM4;X_e[m];Y_e[m];Z_e[m]
1;Yaw;mic_1;-398.1244823;[314.98026247371826, 333.7099635425086, 353.5533905932738, 374.5767692191704, 396.85026299204986, 420.44820762685725, 445.44935907016963, 471.93715634084674, 500.0, 529.7315471796476, 561.2310241546866, 594.6035575013606, 629.9605249474366, 667.4199270850172, 707.1067811865476, 749.1535384383408, 793.7005259840997, 840.8964152537145, 890.8987181403393, 943.8743126816935, 1000.0, 1059.4630943592952, 1122.4620483093731, 1189.2071150027211, 1259.9210498948732, 1334.8398541700344, 1414.213562373095, 1498.3070768766815, 1587.4010519681995, 1681.792830507429, 1781.7974362806785, 1887.7486253633867, 2000.0, 2118.9261887185903, 2244.9240966187463, 2378.4142300054423, 2519.842099789746, 2669.679708340069, 2828.42712474619, 2996.614153753363, 3174.802103936399, 3363.585661014858, 3563.594872561357, 3775.497250726774, 4000.0, 4237.8523774371815, 4489.848193237492, 4756.828460010885, 5039.684199579493, 5339.359416680137, 5656.85424949238, 5993.228307506727, 6349.604207872797, 6727.171322029716, 7127.189745122715, 7550.994501453547, 8000.0, 8475.704754874363, 8979.696386474983, 9513.65692002177, 10079.368399158986, 10678.718833360273, 11313.70849898476];[66.56390837080332, 59.882589740665715, 74.85487747612571, 89.52497428245123, 58.48777497366826, 59.914222744220325, 75.4102482591491, 84.61992699411462, 54.94368809730482, 63.67687784333157, 84.43090040667501, 44.34463502629508, 79.51340924526991, 86.10312295805976, 82.80292888643238, 93.23734069066037, 90.02507787679859, 101.47733185386747, 82.36870802135317, 83.78831187117457, 84.84563676911489, 71.26675257764298, 70.347194779954, 51.569507857565924, 63.999959555495785, 72.85448282171113, 77.83056877146448, 71.8859986127334, 68.29994781294675, 71.42077030583457, 67.33409482257271, 68.63544002397516, 63.6533869668218, 52.141372158293294, 42.68999735728521, 59.78012143386829, 63.131984045710425, 61.99496184792692, 57.69656452144236, 39.72748864426011, 45.63350040849427, 60.07587164046869, 60.05089584143541, 47.33393182906746, 41.34732742050656, 56.86446656335774, 53.6193740640283, 35.35676318388079, 48.90396997419109, 50.82162945062885, 35.26969121665522, 48.917275883662164, 44.0205621806674, 41.91766019335405, 43.592424633575206, 40.472540594527445, 43.23119218087791, 38.36895622347442, 37.21803609159055, 40.999512694347246, 34.89521243350642, 38.174051443060236, 36.75433588847021];0;0.019180718;-0.147157437;0.002793085;2730.4615384615386;2724.4615384615386;2691;2683.923076923077;-0.462847495;-0.263360468;0.043749687
2;Yaw;mic_1;-397.4425382;[314.98026247371826, 333.7099635425086, 353.5533905932738, 374.5767692191704, 396.85026299204986, 420.44820762685725, 445.44935907016963, 471.93715634084674, 500.0, 529.7315471796476, 561.2310241546866, 594.6035575013606, 629.9605249474366, 667.4199270850172, 707.1067811865476, 749.1535384383408, 793.7005259840997, 840.8964152537145, 890.8987181403393, 943.8743126816935, 1000.0, 1059.4630943592952, 1122.4620483093731, 1189.2071150027211, 1259.9210498948732, 1334.8398541700344, 1414.213562373095, 1498.3070768766815, 1587.4010519681995, 1681.792830507429, 1781.7974362806785, 1887.7486253633867, 2000.0, 2118.9261887185903, 2244.9240966187463, 2378.4142300054423, 2519.842099789746, 2669.679708340069, 2828.42712474619, 2996.614153753363, 3174.802103936399, 3363.585661014858, 3563.594872561357, 3775.497250726774, 4000.0, 4237.8523774371815, 4489.848193237492, 4756.828460010885, 5039.684199579493, 5339.359416680137, 5656.85424949238, 5993.228307506727, 6349.604207872797, 6727.171322029716, 7127.189745122715, 7550.994501453547, 8000.0, 8475.704754874363, 8979.696386474983, 9513.65692002177, 10079.368399158986, 10678.718833360273, 11313.70849898476];[49.98766662512377, 53.947962692228685, 64.79247857047964, 84.60595162039901, 56.22375814799628, 51.353844732600166, 60.926505443751005, 83.38373063071342, 52.04380729254065, 63.54681070276587, 69.68778438599132, 47.15176066217629, 65.36603337450352, 76.61529400246346, 71.74989809941623, 80.29303368812586, 72.39975391770678, 80.81032168242106, 72.90880422226357, 83.74871021530211, 74.28307486892581, 78.4796926741306, 65.46116221966574, 59.3536578810243, 56.310533390311114, 69.71954404446392, 64.5731117481955, 66.4911307747886, 62.48038909086176, 66.38297423854641, 63.06147292048445, 60.56660703206716, 61.761645045298756, 57.07091851211453, 40.45420097199355, 58.834511810877935, 64.20726792445355, 65.73964343208489, 59.317711963835464, 41.63037233853518, 50.51973076586968, 61.75712872518224, 61.1162074094673, 49.13368587961615, 43.14162476292394, 56.56346043986642, 54.894499460782676, 37.461708626549644, 49.538032346276296, 48.23094186854707, 35.09272031485472, 48.53102596311779, 40.76450087185283, 37.36672986888753, 42.3322667103686, 39.448478334464085, 41.859016312634736, 40.29627497847911, 37.209431937503496, 39.07166243726681, 32.7860755140082, 35.99858324488361, 36.42197259052642];0;0.071786946;-0.022481913;0.008192888;2711.2727272727275;2715.6363636363635;2670.3636363636365;2696.7272727272725;-0.11260063;-0.613058167;0.038990424
3;Yaw;mic_1;-396.7590913;[314.98026247371826, 333.7099635425086, 353.5533905932738, 374.5767692191704, 396.85026299204986, 420.44820762685725, 445.44935907016963, 471.93715634084674, 500.0, 529.7315471796476, 561.2310241546866, 594.6035575013606, 629.9605249474366, 667.4199270850172, 707.1067811865476, 749.1535384383408, 793.7005259840997, 840.8964152537145, 890.8987181403393, 943.8743126816935, 1000.0, 1059.4630943592952, 1122.4620483093731, 1189.2071150027211, 1259.9210498948732, 1334.8398541700344, 1414.213562373095, 1498.3070768766815, 1587.4010519681995, 1681.792830507429, 1781.7974362806785, 1887.7486253633867, 2000.0, 2118.9261887185903, 2244.9240966187463, 2378.4142300054423, 2519.842099789746, 2669.679708340069, 2828.42712474619, 2996.614153753363, 3174.802103936399, 3363.585661014858, 3563.594872561357, 3775.497250726774, 4000.0, 4237.8523774371815, 4489.848193237492, 4756.828460010885, 5039.684199579493, 5339.359416680137, 5656.85424949238, 5993.228307506727, 6349.604207872797, 6727.171322029716, 7127.189745122715, 7550.994501453547, 8000.0, 8475.704754874363, 8979.696386474983, 9513.65692002177, 10079.368399158986, 10678.718833360273, 11313.70849898476];[64.41478975247432, 62.197637282018626, 80.94343943874506, 91.00443605405225, 47.26919202004901, 53.93272869647067, 89.44067568007617, 77.18929556393778, 42.127326898983874, 69.08386797037492, 79.55031424999733, 42.25452300154899, 71.73237634803033, 76.85532834026128, 85.42075261540015, 88.16366547226534, 90.84071499056225, 99.85593602370739, 84.11496705709305, 81.86255457237594, 87.9460278254746, 79.0128690917369, 74.88176540995755, 58.90979984484985, 62.82826403353211, 71.94093035861881, 66.50135885725727, 70.14551115373548, 70.71422727603272, 73.39979761427249, 64.85994463568582, 66.40190313528272, 62.38415205971498, 52.30885424631769, 44.82593400516936, 57.771895984874575, 64.57656119292434, 67.86230820908389, 59.24723308340485, 38.22119535513308, 52.86095667170353, 62.090008248037336, 62.2799038118188, 52.04621557153988, 46.3941470457753, 59.93441678853786, 59.59496816443018, 41.95097648077777, 52.20166882982792, 56.79447472372055, 40.42561579649238, 54.48044765580886, 45.185925531763715, 43.928862781935734, 47.13865302394667, 43.18661977793087, 46.19579275390055, 42.764020322156796, 40.8939697570988, 46.44611608138639, 39.531594814498604, 42.22705250997705, 41.304635640748295];0;0.085334262;0.109045328;0.004653913;2704.8333333333335;2741.4166666666665;2684.25;2687.0833333333335;0.39185480450000004;-0.461105345;0.038238534166666664
4;Yaw;mic_1;-396.0666361;[314.98026247371826, 333.7099635425086, 353.5533905932738, 374.5767692191704, 396.85026299204986, 420.44820762685725, 445.44935907016963, 471.93715634084674, 500.0, 529.7315471796476, 561.2310241546866, 594.6035575013606, 629.9605249474366, 667.4199270850172, 707.1067811865476, 749.1535384383408, 793.7005259840997, 840.8964152537145, 890.8987181403393, 943.8743126816935, 1000.0, 1059.4630943592952, 1122.4620483093731, 1189.2071150027211, 1259.9210498948732, 1334.8398541700344, 1414.213562373095, 1498.3070768766815, 1587.4010519681995, 1681.792830507429, 1781.7974362806785, 1887.7486253633867, 2000.0, 2118.9261887185903, 2244.9240966187463, 2378.4142300054423, 2519.842099789746, 2669.679708340069, 2828.42712474619, 2996.614153753363, 3174.802103936399, 3363.585661014858, 3563.594872561357, 3775.497250726774, 4000.0, 4237.8523774371815, 4489.848193237492, 4756.828460010885, 5039.684199579493, 5339.359416680137, 5656.85424949238, 5993.228307506727, 6349.604207872797, 6727.171322029716, 7127.189745122715, 7550.994501453547, 8000.0, 8475.704754874363, 8979.696386474983, 9513.65692002177, 10079.368399158986, 10678.718833360273, 11313.70849898476];[62.46992211590164, 66.37634973765041, 93.97216414013539, 96.90660868669609, 56.54123783139991, 77.32032755571657, 89.29665385778975, 90.15254813110732, 56.73706564428558, 77.20984658147705, 79.86725027905317, 56.28917711722182, 76.67961339229035, 83.30318435114121, 92.63787403022104, 89.96667992551691, 91.40482978122864, 96.26376874455158, 87.29596469097707, 84.48200056879895, 84.37622351363154, 77.75119510562158, 67.78495645402204, 54.8730394192138, 61.054943632172716, 67.69257257821556, 70.31229959753804, 73.2311127342662, 76.08140059329193, 72.1557688984841, 66.35592349331476, 64.08026768423193, 58.79254787027919, 58.92062808004158, 41.07262121410558, 59.04110451616241, 65.20361535929572, 66.48585820209212, 63.06676575948877, 41.59530095439783, 56.10122788906836, 60.40319675040941, 63.951346737052006, 52.79547254369925, 47.39845790578852, 59.373814505491666, 58.16353997274046, 40.54392371748233, 55.11465988599768, 55.22730261377607, 39.59122298638221, 55.60851803518822, 41.066488199852024, 47.3753962466979, 44.45652097508877, 39.227043509876765, 43.98652372566079, 41.90398998672946, 40.01471079255988, 44.882584996630555, 36.69236891209188, 40.80888079555466, 40.07405104662404];0;-0.090964031;0.095059668;0.007026797;2732.6923076923076;2787.6153846153848;2671.5384615384614;2673.6923076923076;0.5117529766923077;0.023092959538461535;0.03656847
5;Yaw;mic_1;-395.3824054;[314.98026247371826, 333.7099635425086, 353.5533905932738, 374.5767692191704, 396.85026299204986, 420.44820762685725, 445.44935907016963, 471.93715634084674, 500.0, 529.7315471796476, 561.2310241546866, 594.6035575013606, 629.9605249474366, 667.4199270850172, 707.1067811865476, 749.1535384383408, 793.7005259840997, 840.8964152537145, 890.8987181403393, 943.8743126816935, 1000.0, 1059.4630943592952, 1122.4620483093731, 1189.2071150027211, 1259.9210498948732, 1334.8398541700344, 1414.213562373095, 1498.3070768766815, 1587.4010519681995, 1681.792830507429, 1781.7974362806785, 1887.7486253633867, 2000.0, 2118.9261887185903, 2244.9240966187463, 2378.4142300054423, 2519.842099789746, 2669.679708340069, 2828.42712474619, 2996.614153753363, 3174.802103936399, 3363.585661014858, 3563.594872561357, 3775.497250726774, 4000.0, 4237.8523774371815, 4489.848193237492, 4756.828460010885, 5039.684199579493, 5339.359416680137, 5656.85424949238, 5993.228307506727, 6349.604207872797, 6727.171322029716, 7127.189745122715, 7550.994501453547, 8000.0, 8475.704754874363, 8979.696386474983, 9513.65692002177, 10079.368399158986, 10678.718833360273, 11313.70849898476];[43.63878292096689, 51.94671957123564, 92.1382462100366, 92.73499229111519, 56.53944827218712, 57.7339465869289, 81.44383844935109, 94.03419588607849, 52.980014090122154, 73.47979157280052, 73.17256836424241, 58.16424725916366, 84.53987389082515, 85.1527719649526, 85.53797135355227, 89.24889384636973, 98.34401481698191, 99.48408504593638, 87.17314060777542, 96.56842687162344, 97.31057184854711, 84.87307387870817, 75.5633100843106, 68.38435194487062, 70.91497997726576, 73.24598748960813, 78.72079228777211, 74.36349743683716, 75.89014649460913, 75.55902437263666, 73.53686602628719, 71.9142785953975, 72.07317088850847, 63.29313152759625, 48.53250501373178, 63.5303376525868, 68.57256907572759, 70.76521534686533, 59.345609533333466, 38.861623490505785, 57.14714707988275, 69.32797691651598, 66.2584058570315, 53.9713950824126, 48.011424136117924, 59.519670592710966, 58.90892355569882, 37.18856140853723, 52.14482160663579, 53.151563901319314, 38.97033046243225, 51.50271675110211, 44.587683822064335, 45.582752889374476, 45.20834045280755, 43.331782659239806, 46.74314238956087, 43.87839990728484, 40.366977540251476, 44.65673169727295, 39.98029200510171, 42.43503453218388, 42.44259111109539];0;-0.068399686;-0.039840224;-0.004959182;2695.3076923076924;2785.769230769231;2675.3076923076924;2636.846153846154;0.13878296369230772;0.3263157416153846;0.041266679
6;Yaw;mic_1;-394.6793413;[314.98026247371826, 333.7099635425086, 353.5533905932738, 374.5767692191704, 396.85026299204986, 420.44820762685725, 445.44935907016963, 471.93715634084674, 500.0, 529.7315471796476, 561.2310241546866, 594.6035575013606, 629.9605249474366, 667.4199270850172, 707.1067811865476, 749.1535384383408, 793.7005259840997, 840.8964152537145, 890.8987181403393, 943.8743126816935, 1000.0, 1059.4630943592952, 1122.4620483093731, 1189.2071150027211, 1259.9210498948732, 1334.8398541700344, 1414.213562373095, 1498.3070768766815, 1587.4010519681995, 1681.792830507429, 1781.7974362806785, 1887.7486253633867, 2000.0, 2118.9261887185903, 2244.9240966187463, 2378.4142300054423, 2519.842099789746, 2669.679708340069, 2828.42712474619, 2996.614153753363, 3174.802103936399, 3363.585661014858, 3563.594872561357, 3775.497250726774, 4000.0, 4237.8523774371815, 4489.848193237492, 4756.828460010885, 5039.684199579493, 5339.359416680137, 5656.85424949238, 5993.228307506727, 6349.604207872797, 6727.171322029716, 7127.189745122715, 7550.994501453547, 8000.0, 8475.704754874363, 8979.696386474983, 9513.65692002177, 10079.368399158986, 10678.718833360273, 11313.70849898476];[57.503341858732014, 55.639048970464636, 77.4225704575613, 94.4109365016795, 51.197595123422076, 50.17366990348428, 72.90645470257724, 78.36765566550096, 52.468188588433364, 57.05712555854493, 74.36090998636169, 47.0995899083576, 84.41791076411812, 75.3728143113639, 67.89772182211144, 84.3541685474907, 69.84157315358613, 93.59905468608713, 81.69025616613821, 88.14164198160144, 75.95495793377046, 71.54770675222728, 66.83322473617892, 54.89297866674217, 59.80165926223954, 63.55606763259697, 62.99353851767857, 61.08939045473245, 63.45955111295159, 64.0421484793489, 66.27977562500999, 61.65233752133329, 59.42865887201372, 50.47069776678782, 37.88009450807887, 54.42196183010871, 61.865327070058136, 60.27418247721097, 56.04706445655482, 33.16955596099221, 50.57299587364384, 58.755275522980824, 55.15121970209994, 44.60861720865055, 42.259996267333015, 56.172934837367464, 54.03732232698615, 38.31929303937769, 50.4109724148233, 49.95829617243959, 39.34524757802342, 49.70332300584336, 46.912129947004175, 42.538384167525095, 45.91394262204172, 41.345627311825204, 49.07558979882872, 44.40739211676183, 45.14407204768403, 46.70869276825087, 41.29481029334077, 43.60859503100146, 41.76788956215604];0;-0.059702558;-0.158341986;-0.005265166;2723;2757.1666666666665;2698.5833333333335;2621.6666666666665;-0.320980431;0.10878560341666667;0.046926711333333336
7;Yaw;mic_1;-393.9819928;[314.98026247371826, 333.7099635425086, 353.5533905932738, 374.5767692191704, 396.85026299204986, 420.44820762685725, 445.44935907016963, 471.93715634084674, 500.0, 529.7315471796476, 561.2310241546866, 594.6035575013606, 629.9605249474366, 667.4199270850172, 707.1067811865476, 749.1535384383408, 793.7005259840997, 840.8964152537145, 890.8987181403393, 943.8743126816935, 1000.0, 1059.4630943592952, 1122.4620483093731, 1189.2071150027211, 1259.9210498948732, 1334.8398541700344, 1414.213562373095, 1498.3070768766815, 1587.4010519681995, 1681.792830507429, 1781.7974362806785, 1887.7486253633867, 2000.0, 2118.9261887185903, 2244.9240966187463, 2378.4142300054423, 2519.842099789746, 2669.679708340069, 2828.42712474619, 2996.614153753363, 3174.802103936399, 3363.585661014858, 3563.594872561357, 3775.497250726774, 4000.0, 4237.8523774371815, 4489.848193237492, 4756.828460010885, 5039.684199579493, 5339.359416680137, 5656.85424949238, 5993.228307506727, 6349.604207872797, 6727.171322029716, 7127.189745122715, 7550.994501453547, 8000.0, 8475.704754874363, 8979.696386474983, 9513.65692002177, 10079.368399158986, 10678.718833360273, 11313.70849898476];[63.44311410544697, 63.356067189976386, 79.63113000117423, 92.40641866755887, 55.75515741099852, 49.28087328177514, 72.3150918897207, 94.49703099420998, 48.19478523492856, 52.78103780396598, 76.53928305734561, 45.9385252417148, 78.85623078221212, 84.71521696184666, 80.88520491597352, 94.84406653501132, 80.61126300802813, 98.87922704594064, 88.81153388454214, 94.4450316320539, 80.90144458347436, 85.25552602029188, 70.93137354434414, 55.987830365326815, 61.81484824871083, 70.6421343261878, 68.40513463191988, 68.04361528583104, 71.78681909216978, 70.90357679499051, 67.71787154379955, 67.25291770831933, 62.9922856007564, 53.769808101860576, 49.946107150342144, 57.68636591583259, 63.22827910502981, 61.13064931901627, 59.08955210475256, 41.367095185777394, 48.92384061282638, 59.95028364474691, 61.06848641657844, 50.403556539257266, 41.93009165663297, 54.23713430331909, 52.827353265672755, 37.35544844749461, 49.796382790786694, 50.84147137197843, 35.27512160616301, 50.395473404798565, 41.86115270172719, 42.258769140759824, 43.99222989816639, 41.156449069275055, 45.03245271841065, 41.026329175633634, 39.54895360058557, 42.778249657003656, 38.781062638048304, 39.14479738657958, 41.66263618762373];0;0.067548734;-0.122425159;0.003205373;2720.7272727272725;2748.181818181818;2688.3636363636365;2649;-0.361324177;-0.400446937;0.044356768
8;Yaw;mic_1;-393.3156291;[314.98026247371826, 333.7099635425086, 353.5533905932738, 374.5767692191704, 396.85026299204986, 420.44820762685725, 445.44935907016963, 471.93715634084674, 500.0, 529.7315471796476, 561.2310241546866, 594.6035575013606, 629.9605249474366, 667.4199270850172, 707.1067811865476, 749.1535384383408, 793.7005259840997, 840.8964152537145, 890.8987181403393, 943.8743126816935, 1000.0, 1059.4630943592952, 1122.4620483093731, 1189.2071150027211, 1259.9210498948732, 1334.8398541700344, 1414.213562373095, 1498.3070768766815, 1587.4010519681995, 1681.792830507429, 1781.7974362806785, 1887.7486253633867, 2000.0, 2118.9261887185903, 2244.9240966187463, 2378.4142300054423, 2519.842099789746, 2669.679708340069, 2828.42712474619, 2996.614153753363, 3174.802103936399, 3363.585661014858, 3563.594872561357, 3775.497250726774, 4000.0, 4237.8523774371815, 4489.848193237492, 4756.828460010885, 5039.684199579493, 5339.359416680137, 5656.85424949238, 5993.228307506727, 6349.604207872797, 6727.171322029716, 7127.189745122715, 7550.994501453547, 8000.0, 8475.704754874363, 8979.696386474983, 9513.65692002177, 10079.368399158986, 10678.718833360273, 11313.70849898476];[54.238740841426974, 49.14200611382218, 72.07600177205104, 85.70186798707292, 61.81230028084062, 49.64278210640905, 72.20565797949924, 88.22143777062495, 48.84646336044979, 55.608230683101056, 70.56853314936833, 49.038967085323925, 73.77921897134439, 68.38442734342655, 72.7898717555057, 83.88317829914696, 75.24142760596222, 90.7262600948561, 78.79904502001311, 76.2427056789319, 74.8669841426415, 66.50649419946325, 59.64542098177253, 41.60458227170045, 49.42935076135899, 59.05782138474797, 59.72943672449851, 58.87443673758564, 58.226252041956016, 60.03129281518122, 60.61332280154162, 57.89830816242868, 54.728836766830696, 45.85009678111196, 39.79290377445513, 48.92365942861999, 57.54648394191689, 58.044412799847905, 53.664586094183846, 32.019628461137984, 41.32215039432272, 56.44974510159976, 53.43666084961783, 42.69668413161877, 40.64567185605636, 50.75616196283456, 50.75523003614816, 30.778710090869463, 44.135400072830606, 50.35700502035446, 32.75702180239979, 45.40190333256369, 41.72521947741991, 40.33542446083111, 38.483599228116766, 37.67760442721071, 38.4969221402114, 35.77372964465656, 31.368948576866043, 39.83244677842697, 31.797680614698734, 33.91897258065298, 33.56045743881682];0;0.1216010217272727;-0.003088112;0.003952958;2686.7272727272725;2738.3636363636365;2722.5454545454545;2650.2727272727275;0.060145973818181826;-0.691651155;0.044833328
9;Yaw;mic_1;-392.6081032;[314.98026247371826, 333.7099635425086, 353.5533905932738, 374.5767692191704, 396.85026299204986, 420.44820762685725, 445.44935907016963, 471.93715634084674, 500.0, 529.7315471796476, 561.2310241546866, 594.6035575013606, 629.9605249474366, 667.4199270850172, 707.1067811865476, 749.1535384383408, 793.7005259840997, 840.8964152537145, 890.8987181403393, 943.8743126816935, 1000.0, 1059.4630943592952, 1122.4620483093731, 1189.2071150027211, 1259.9210498948732, 1334.8398541700344, 1414.213562373095, 1498.3070768766815, 1587.4010519681995, 1681.792830507429, 1781.7974362806785, 1887.7486253633867, 2000.0, 2118.9261887185903, 2244.9240966187463, 2378.4142300054423, 2519.842099789746, 2669.679708340069, 2828.42712474619, 2996.614153753363, 3174.802103936399, 3363.585661014858, 3563.594872561357, 3775.497250726774, 4000.0, 4237.8523774371815, 4489.848193237492, 4756.828460010885, 5039.684199579493, 5339.359416680137, 5656.85424949238, 5993.228307506727, 6349.604207872797, 6727.171322029716, 7127.189745122715, 7550.994501453547, 8000.0, 8475.704754874363, 8979.696386474983, 9513.65692002177, 10079.368399158986, 10678.718833360273, 11313.70849898476];[71.1178492991315, 64.87580735055681, 78.96360719514863, 87.31721966622978, 66.65359648746357, 59.07169567867514, 73.98401959128351, 77.03155619474207, 67.43130982516023, 53.27438653371548, 73.13718497420845, 49.79670520643069, 70.49011375071214, 77.27009936807957, 74.28198574812433, 87.12169552675563, 73.05681306483532, 99.68940871944173, 88.66064441629989, 89.149278911038, 84.90363081431128, 75.75861479859182, 71.60157147258728, 61.01395082733558, 63.30385328493851, 74.68705174131887, 70.93766775690466, 66.04397473531913, 67.97321926773077, 68.78109076847824, 65.08238226403046, 60.572256974705645, 62.13122223476618, 51.426292417116166, 47.11520023297553, 55.190736809687245, 59.703941842033146, 60.80153484303601, 58.84911604914013, 39.23418661574403, 48.36352766090057, 56.59480317973142, 52.072079809203174, 46.50285377914204, 36.976409531342554, 50.13480385597574, 52.0771629763403, 36.31519797331944, 46.88223669460442, 46.09162965138016, 34.90308696717744, 47.53350339938163, 38.52848108558557, 38.128039096274186, 39.63030993385168, 33.65584046068364, 37.05993712536763, 37.59261778466005, 34.40293345392911, 37.68423020261811, 33.13639288827262, 36.34330177505418, 37.18433032696295];0;0.065684488;0.10300414657142858;0.011295704571428573;2688.714285714286;2765.714285714286;2731.714285714286;2645.0714285714284;0.5298243422857143;-0.455226494;0.042422355
10;Yaw;mic_1;-391.9237201;[314.98026247371826, 333.7099635425086, 353.5533905932738, 374.5767692191704, 396.85026299204986, 420.44820762685725, 445.44935907016963, 471.93715634084674, 500.0, 529.7315471796476, 561.2310241546866, 594.6035575013606, 629.9605249474366, 667.4199270850172, 707.1067811865476, 749.1535384383408, 793.7005259840997, 840.8964152537145, 890.8987181403393, 943.8743126816935, 1000.0, 1059.4630943592952, 1122.4620483093731, 1189.2071150027211, 1259.9210498948732, 1334.8398541700344, 1414.213562373095, 1498.3070768766815, 1587.4010519681995, 1681.792830507429, 1781.7974362806785, 1887.7486253633867, 2000.0, 2118.9261887185903, 2244.9240966187463, 2378.4142300054423, 2519.842099789746, 2669.679708340069, 2828.42712474619, 2996.614153753363, 3174.802103936399, 3363.585661014858, 3563.594872561357, 3775.497250726774, 4000.0, 4237.8523774371815, 4489.848193237492, 4756.828460010885, 5039.684199579493, 5339.359416680137, 5656.85424949238, 5993.228307506727, 6349.604207872797, 6727.171322029716, 7127.189745122715, 7550.994501453547, 8000.0, 8475.704754874363, 8979.696386474983, 9513.65692002177, 10079.368399158986, 10678.718833360273, 11313.70849898476];[62.83161485133567, 69.29646371559916, 86.31314881920036, 82.22797296882126, 62.13457612929149, 58.028213346480946, 76.72094741090467, 76.35409390700796, 55.4688343166309, 61.62405973183152, 72.49123823584632, 51.023161346824324, 84.90087824039946, 66.4088909341832, 78.42067408566776, 90.00451269940378, 75.26326855219006, 101.6829380341092, 88.1294695916722, 87.8611916544512, 97.36938800677619, 75.9713142703327, 74.78374563062422, 58.59316308783403, 62.22835151796366, 70.63348789796883, 62.03021039529241, 66.90262837447867, 67.63082133329935, 68.78866478480623, 68.82080453607416, 67.56796778286869, 65.37045829959933, 62.074022232746266, 51.305703449308425, 59.74910631924167, 66.05127914094575, 67.90245706699142, 62.63230400047539, 44.9370248890594, 58.663269828552664, 63.65121188044144, 60.789040182184316, 48.16194927960409, 47.48496794614734, 64.42471449766913, 58.16918153952572, 41.824880610217804, 58.83755991057403, 57.222091745466315, 41.69342631740123, 58.19303276972352, 50.58023204502409, 48.60432991194567, 51.141298353891685, 45.452645507309064, 50.856933203285664, 48.11901579706059, 42.79008742497722, 47.11860080007376, 39.68538828241648, 42.2600669018277, 43.40213828988454];0;-0.012348719;0.071741468;-0.003671707;2705.090909090909;2758.4545454545455;2674.5454545454545;2655.2727272727275;0.5434414580909092;0.074429074;0.047399875
